Fecha de creacion;Ubicacion;Estatus Legal;Genero;Fecha de Nacimiento;Grupo Etario;Edad;Pais de origen;Estado Civil
01/04/2024;Tulcan - MREMH;Refugiado;Femenino;21/10/2000;3. Jovenes;23;Colombia;Soltero
01/04/2024;Tulcan - MREMH;Solicitante de Asilo;Femenino;30/06/1994;3. Jovenes;30;Colombia;Soltero
01/04/2024;Tulcan - MREMH;Solicitante de Asilo;Femenino;18/12/2011;2. Adolecente;12;Colombia;Soltero
01/04/2024;Tulcan - MREMH;Solicitante de Asilo;Masculino;31/01/2015;1. Niño, Niña;9;Colombia;Soltero
01/04/2024;Guayaquil - MREMH;Solicitante de Asilo;Masculino;29/08/2015;1. Niño, Niña;8;Colombia;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;03/03/1994;3. Jovenes;30;Colombia;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;22/04/2003;3. Jovenes;21;Colombia;Soltero
01/04/2024;Tulcan - MREMH;No de Interes;Femenino;23/01/2003;3. Jovenes;21;Colombia;Soltero
01/04/2024;Tulcan - MREMH;Solicitante de Asilo;Masculino;07/03/1988;4. Adultos;36;Colombia;Soltero
01/04/2024;Pichincha - MREMH;Refugiado;Femenino;26/09/1997;3. Jovenes;26;Colombia;Union
01/04/2024;Pichincha - MREMH;Refugiado;Masculino;29/04/1996;3. Jovenes;28;Colombia;Union
01/04/2024;Pichincha - MREMH;Refugiado;Masculino;16/09/2020;1. Niño, Niña;3;Colombia;Soltero
01/04/2024;Pichincha - MREMH;Solicitante de Asilo;Femenino;21/03/1990;4. Adultos;34;Colombia;Soltero
01/04/2024;Pichincha - MREMH;Solicitante de Asilo;Femenino;08/11/2014;1. Niño, Niña;9;Colombia;Soltero
01/04/2024;Tulcan - MREMH;Solicitante de Asilo;Masculino;24/09/1997;3. Jovenes;26;Colombia;Soltero
01/04/2024;Pichincha - MREMH;Solicitante de Asilo;Masculino;25/07/1979;4. Adultos;44;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;14/01/1990;4. Adultos;34;Haiti;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;05/03/1992;4. Adultos;32;Colombia;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;05/02/2010;2. Adolecente;14;Haiti;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;13/10/2016;1. Niño, Niña;7;Colombia;Soltero
01/04/2024;Pichincha - MREMH;Solicitante de Asilo;Femenino;07/11/2013;1. Niño, Niña;10;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;10/06/2013;1. Niño, Niña;11;Haiti;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;27/07/1980;4. Adultos;43;Venezuela;Union
01/04/2024;Esmeraldas -MREMH;Otro de Interes;Masculino;09/04/1940;5. Adulto Mayor;84;Colombia;Union
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;31/05/1984;4. Adultos;40;Venezuela;Union
01/04/2024;Tulcan - MREMH;Solicitante de Asilo;Femenino;29/01/2005;3. Jovenes;19;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;02/09/2007;2. Adolecente;16;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Solicitante de Asilo;Femenino;11/10/1982;4. Adultos;41;Colombia;Soltero
01/04/2024;Pichincha - MREMH;Solicitante de Asilo;Femenino;16/07/2008;2. Adolecente;15;Colombia;Soltero
01/04/2024;Guayaquil - MREMH;Otro de Interes;Femenino;13/02/1993;4. Adultos;31;Venezuela;Union
01/04/2024;Pichincha - MREMH;Solicitante de Asilo;Masculino;25/04/2012;2. Adolecente;12;Colombia;Soltero
01/04/2024;Pichincha - MREMH;Solicitante de Asilo;Masculino;04/08/2006;2. Adolecente;17;Colombia;Soltero
01/04/2024;Pichincha - MREMH;Solicitante de Asilo;Femenino;25/04/2012;2. Adolecente;12;Colombia;Soltero
01/04/2024;Guayaquil - MREMH;Otro de Interes;Masculino;14/05/1996;3. Jovenes;28;Venezuela;Casado
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;01/11/1981;4. Adultos;42;Venezuela;Union
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;26/07/1984;4. Adultos;39;Venezuela;Soltero
